Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,n_consonants,n_vowels,n_tones,has_click,has_tone_segment,n_nasal_phonemes,consonant_ratio,vowel_ratio
dhal1246,Dhay'yi,Australia,Pama-Nyungan,-13.1806,136.22,26,20,6,0,False,False,6,0.7692,0.2308
dhan1270,Dhangu,Australia,Pama-Nyungan,-11.9493,135.752,26,20,6,0,False,False,6,0.7692,0.2308
dhar1247,Tharrkari,Australia,Pama-Nyungan,-24.0601,114.847,31,25,6,0,False,False,6,0.8065,0.1935
dhar1248,Dharumbal,Australia,Pama-Nyungan,-23.307,150.593,21,18,3,0,False,False,4,0.8571,0.1429
dhim1246,Dhimal,Eurasia,Sino-Tibetan,26.6283,88.3798,53,31,22,0,False,False,10,0.5849,0.4151
dhiv1236,Dhivehi,Eurasia,Indo-European,1.928498,73.54433,39,27,12,0,False,False,3,0.6923,0.3077
dhud1236,Dhudhuroa,Australia,Pama-Nyungan,-36.95881441,147.0450379,21,15,6,0,False,False,5,0.7143,0.2857
dhur1239,Dhurga,Australia,Pama-Nyungan,-35.412,150.134,25,19,6,0,False,False,6,0.76,0.24
dhuw1249,YOLNGU,Australia,Pama-Nyungan,-12.7825,136.008,23,20,3,0,False,False,6,0.8696,0.1304
dibo1245,babole,Africa,Atlantic-Congo,1.07773,17.2305,21,11,6,4,False,True,2,0.5238,0.2857
didi1258,Didinga,Africa,Surmic,4.21489,33.6869,58,36,18,4,False,True,8,0.6207,0.3103
dido1241,Tsez,Eurasia,Nakh-Daghestanian,42.2646,45.8096,42,36,6,0,False,False,2,0.8571,0.1429
dier1241,Diyari,Australia,Pama-Nyungan,-28.1667,138.0,25,22,3,0,False,False,6,0.88,0.12
digo1242,Digor Ossetic,Eurasia,Indo-European,43.158056,44.156944,42,36,6,0,False,False,2,0.8571,0.1429
digo1243,Digo,Africa,Atlantic-Congo,-4.62101,39.1752,48,41,5,2,False,True,5,0.8542,0.1042
dime1235,Dime,Africa,South Omotic,6.20951,36.3329,73,53,18,2,False,True,5,0.726,0.2466
diml1238,Dimili,Eurasia,Indo-European,38.6147,39.6388,42,28,14,0,False,False,2,0.6667,0.3333
dira1238,Thirarri,Australia,Pama-Nyungan,-28.7992,138.078,25,22,3,0,False,False,6,0.88,0.12
diri1252,diriku,Africa,Atlantic-Congo,-18.1681,20.6678,28,23,5,0,False,False,4,0.8214,0.1786
dita1238,Ditammari,Africa,Atlantic-Congo,10.1614,1.18045,32,17,12,3,False,True,9,0.5312,0.375
dizi1235,DIZI,Africa,Dizoid,6.1405,35.5763,30,24,6,0,False,False,2,0.8,0.2
djab1234,Djabwurung,Australia,Pama-Nyungan,-34.13829932,143.6694397,21,17,4,0,False,False,5,0.8095,0.1905
djad1246,Jardwadjali,Australia,Pama-Nyungan,-34.13829932,143.6694397,21,17,4,0,False,False,5,0.8095,0.1905
djam1255,Jaminjung,Australia,Mirndi,-15.0558,130.06,22,18,4,0,False,False,5,0.8182,0.1818
djam1256,Djambarrpuyngu,Australia,Pama-Nyungan,-12.021,135.59,31,25,6,0,False,False,6,0.8065,0.1935
djan1238,Djangun,Australia,Pama-Nyungan,-16.91051,144.93245,16,13,3,0,False,False,4,0.8125,0.1875
djap1238,Djapu,Australia,Pama-Nyungan,-12.879764,136.417978,25,19,6,0,False,False,6,0.76,0.24
djau1244,Jawoyn,Australia,Gunwinyguan,-14.1361,133.002,27,22,5,0,False,False,5,0.8148,0.1852
djaw1238,Jawi,Australia,Nyulnyulan,-16.4163,123.186,20,17,3,0,False,False,5,0.85,0.15
djee1236,Ndjebbana,Australia,Maningrida,-12.0133,134.097,21,16,5,0,False,False,5,0.7619,0.2381
djeo1235,Jabutí,South America,Nuclear-Macro-Je,-12.038,-64.6694,24,14,10,0,False,False,6,0.5833,0.4167
djin1251,Jingulu,Australia,Mirndi,-17.165,133.659,20,17,3,0,False,False,5,0.85,0.15
djin1252,Djinba,Australia,Pama-Nyungan,-12.93,134.967,25,22,3,0,False,False,5,0.88,0.12
djin1253,Djinang,Australia,Pama-Nyungan,-12.462,134.82,25,22,3,0,False,False,5,0.88,0.12
djiw1241,Jiwarli,Australia,Pama-Nyungan,-24.10724,116.98858,26,20,6,0,False,False,6,0.7692,0.2308
dobu1241,Dobu,Papunesia,Austronesian,-9.63239,150.825,24,19,5,0,False,False,3,0.7917,0.2083
dolg1241,Dolgan,Eurasia,Turkic,71.1083,94.2936,42,22,20,0,False,False,4,0.5238,0.4762
doma1258,Domari,Eurasia,Indo-European,32.0,35.0,45,33,12,0,False,False,2,0.7333,0.2667
