given_A,phoneme_B,P(B|A),n_A,n_AB
uː,n,0.8293,703,583
uː,t,0.7013,703,493
uː,l,0.7795,703,548
uː,s,0.6927,703,487
uː,e,0.6102,703,429
uː,ŋ,0.7212,703,507
uː,o,0.6074,703,427
uː,b,0.6145,703,432
uː,ɡ,0.5519,703,388
uː,h,0.5377,703,378
uː,d,0.4765,703,335
uː,r,0.5306,703,373
uː,ɲ,0.4438,703,312
uː,f,0.4452,703,313
uː,t̠ʃ,0.3698,703,260
uː,ɛ,0.3713,703,261
uː,ʔ,0.3371,703,237
uː,ɔ,0.3585,703,252
uː,iː,0.9801,703,689
uː,aː,0.8677,703,610
uː,ʃ,0.3314,703,233
