family_name,n_languages,avg_inventory,median_inventory,avg_consonants,avg_vowels,pct_with_clicks,pct_with_tones
Sahaptian,1,36.0,36.0,26.0,10.0,0.0,0.0
Saharan,4,33.0,33.5,22.0,9.2,0.0,50.0
Salishan,10,38.9,39.0,32.6,6.0,0.0,10.0
Senagi,1,17.0,17.0,11.0,6.0,0.0,0.0
Sentanic,1,17.0,17.0,10.0,7.0,0.0,0.0
Sepik,7,20.0,18.0,14.0,6.0,0.0,0.0
Shastan,1,21.0,21.0,17.0,4.0,0.0,0.0
Sino-Tibetan,99,46.7,46.0,31.9,13.8,0.0,27.3
Siouan,3,26.3,23.0,16.3,9.0,0.0,33.3
Sko,3,22.0,23.0,10.3,9.3,0.0,66.7
Songhay,4,50.2,45.5,33.8,14.0,0.0,50.0
South Bird's Head Family,1,18.0,18.0,13.0,5.0,0.0,0.0
South Bougainville,1,18.0,18.0,8.0,10.0,0.0,0.0
South Omotic,3,48.0,36.0,34.7,12.7,0.0,33.3
Southern Daly,3,27.0,28.0,21.7,5.3,0.0,0.0
Surmic,6,37.0,34.0,24.3,11.2,0.0,50.0
Ta-Ne-Omotic,10,40.4,38.0,31.4,7.8,0.0,30.0
Tai-Kadai,20,37.8,34.5,23.0,13.8,0.0,15.0
Tamaic,1,29.0,29.0,20.0,9.0,0.0,0.0
Tangkic,3,24.3,24.0,17.7,6.7,0.0,0.0
Tarascan,1,32.0,32.0,26.0,6.0,0.0,0.0
Teberan,1,23.0,23.0,13.0,10.0,0.0,0.0
Temeinic,2,36.0,36.0,21.0,12.5,0.0,50.0
Ticuna-Yuri,1,38.0,38.0,18.0,11.0,0.0,100.0
Timor-Alor-Pantar,2,34.0,34.0,17.0,17.0,0.0,0.0
Totonacan,3,29.3,31.0,20.7,8.7,0.0,0.0
Tsimshian,2,41.5,41.5,35.0,6.5,0.0,0.0
Tucanoan,19,22.7,23.0,12.6,10.0,0.0,5.3
Tungusic,5,30.6,29.0,18.0,12.6,0.0,0.0
Tupian,50,26.1,26.0,14.6,11.4,0.0,4.0
Turkic,21,40.2,39.0,25.4,14.8,0.0,0.0
Tuu,1,161.0,161.0,130.0,28.0,100.0,100.0
Unclassifiable,1,21.0,21.0,14.0,7.0,0.0,0.0
Uralic,32,45.0,37.0,33.3,11.7,0.0,0.0
Uru-Chipaya,2,42.0,42.0,32.0,10.0,0.0,0.0
Uto-Aztecan,15,29.0,28.0,19.3,9.7,0.0,0.0
Wakashan,2,51.0,51.0,41.5,9.5,0.0,0.0
Western Daly,6,27.2,27.5,22.8,4.3,0.0,0.0
Wintuan,1,35.0,35.0,30.0,5.0,0.0,0.0
Worrorran,8,25.5,25.0,18.5,7.0,0.0,0.0
Yangmanic,2,22.0,22.0,17.0,5.0,0.0,0.0
Yanomamic,5,29.0,31.0,11.6,17.4,0.0,0.0
Yareban,1,18.0,18.0,13.0,5.0,0.0,0.0
Yawa-Saweru,1,19.0,19.0,14.0,5.0,0.0,0.0
Yeniseian,1,32.0,32.0,18.0,14.0,0.0,0.0
Yukaghir,2,37.5,37.5,20.0,17.5,0.0,0.0
Yuki-Wappo,2,29.5,29.5,24.0,5.5,0.0,0.0
Zamucoan,2,33.5,33.5,20.5,13.0,0.0,0.0
Zaparoan,4,23.8,23.5,14.8,9.0,0.0,0.0
