,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
ɻ,0.025380693,0.009216562,-2.2351742e-08,0.97058845,0.008620672,-2.2351742e-08,0.0076922774,0.016129002,-2.9802322e-08,-2.9802322e-08
˧,0.0152284205,0.01382488,0.4580645,1.4901161e-08,0.077586204,0.008510649,0.20384619,0.061290327,0.36279064,0.056250002
ẽ,0.02030456,0.009216577,0.5419355,-7.450581e-09,0.12068964,0.017021261,0.04615383,0.003225796,-1.4901161e-08,0.7250002
nd,0.055837583,0.0046083108,0.12903227,0.004201688,2.9802322e-08,0.03404256,0.22307691,0.07741935,0.48372102,0.08125001
β,0.11167512,0.15668203,0.070967734,0.016806714,0.034482755,0.18723404,0.11153846,0.07741935,0.14418605,0.16875002
ɓ,0.04568527,0.018433169,0.23870966,-3.7252903e-08,0.034482755,0.038297854,0.17692308,0.08064513,0.44186044,0.0375
ŋɡ,0.05076143,0.041474663,0.12258065,0.0042016953,0.017241381,0.029787265,0.21153848,0.06774196,0.4511628,0.075
dz,0.2538071,0.009216547,0.1032258,-5.2154064e-08,0.24137932,0.034042522,0.06923075,0.1032258,0.31627902,0.0062499717
ɗ,0.050761428,0.0046083033,0.109677434,-1.4901161e-08,0.017241381,0.025531918,0.19999997,0.06451611,0.36279076,0.050000004
ɛ̃,0.030456841,0.009216569,0.83870983,-3.7252903e-08,0.043103445,0.021276578,0.030769207,0.00967738,-2.9802322e-08,0.14375
ȴ,-7.450581e-09,0.023041464,0.0,0.7058823,-7.450581e-09,-7.450581e-09,-1.4901161e-08,-2.2351742e-08,-1.4901161e-08,-7.450581e-09
ɔ̃,0.0152284205,0.01382488,0.84516144,-7.450581e-09,0.051724136,0.017021284,0.023076918,0.0064516366,7.450581e-09,0.099999994
q,0.25380713,0.08755761,7.450581e-09,1.4901161e-08,0.051724147,0.25531912,0.04615386,0.035483886,1.4901161e-08,0.01250001
kʼ,0.27918777,0.078341015,7.450581e-09,7.450581e-09,0.017241385,0.19574466,0.053846154,0.012903228,0.023255814,0.03749999
e̞,0.14213198,0.29032257,1.4901161e-08,0.004201688,0.12931035,0.07659575,0.0038461685,0.06129034,0.00930234,0.03750001
o̞,0.16243656,0.29493088,0.0064516217,1.4901161e-08,0.025862068,0.08085106,0.003846176,0.080645174,0.004651174,0.031250004
